다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
6345545,2017081,4148025625,280641002,경기 파주2,경기도 파주시 법원읍(오마이치킨 부근),5,5,0,3,1,1,126.8733955,37.84933592
6345590,2017081,2629010600,120526002,부산 부산남부2,부산광역시 남구 대연동(대남지하차도(남측) 부근),4,5,1,0,3,1,129.1062465,35.13888934
6345485,2017081,2632010500,120626001,부산 부산북부1,부산광역시 북구 구포동(구포지구대 부근),4,4,0,1,3,0,129.0061343,35.19856891
6345603,2017081,3011010200,250330002,대전 대전동부2,대전광역시 동구 인동(상인교육관 부근),3,3,1,1,1,0,127.4338027,36.32629467
6345605,2017081,3014010200,250230002,대전 대전중부2,대전광역시 중구 선화동(대광공사 부근),4,4,0,2,2,0,127.4195438,36.3299615
6345562,2017081,4511310300,170345003,전북 전주덕진3,전라북도 전주시 덕진구 인후동1가(한송조경 부근),4,4,0,4,0,0,127.1590516,35.83719847
6345499,2017081,4511310700,170345002,전북 전주덕진2,전라북도 전주시 덕진구 금암동(팡팡복권 부근),5,5,0,1,3,1,127.1333022,35.83431498
6345527,2017081,4148035027,280641001,경기 파주1,경기도 파주시 광탄면(광신교 부근),5,5,0,3,2,0,126.84686,37.782031
6345546,2017081,4150010100,131341001,경기 이천1,경기도 이천시 창전동(중앙사거리 부근),12,12,0,4,7,1,127.4444586,37.28109269
6345655,2017081,1174010800,112411001,서울 서울강동1,서울특별시 강동구 성내동(길동사거리_일반국도43호선_진출 부근),7,7,0,4,3,0,127.1378614,37.53399113
6345346,2017081,1174010900,112411003,서울 서울강동3,서울특별시 강동구 천호동(천호초교입구 부근),4,4,0,2,2,0,127.1337794,37.54605981
6345657,2017081,3014011400,250230001,대전 대전중부1,대전광역시 중구 태평동(태평오거리 부근),5,5,0,4,1,0,127.3946406,36.3254763
6345687,2017081,3017010600,250630002,대전 대전둔산2,대전광역시 서구 탄방동(공작사거리 부근),4,4,1,0,3,0,127.3955162,36.34885934
6345493,2017081,4511313000,170345001,전북 전주덕진1,전라북도 전주시 덕진구 여의동(원광한의원 부근),5,5,0,2,3,0,127.0764667,35.87147417
6345511,2017081,4513010700,170445001,전북 군산1,전라북도 군산시 금광동(명산사거리 부근),4,4,0,3,1,0,126.7089931,35.98363919
6345350,2017081,4119710200,132341001,경기 부천소사1,경기도 부천시 소사구 심곡본동(심곡길의원 부근),7,7,0,5,2,0,126.7751392,37.47886288
6345621,2017081,4119910400,135541001,경기 부천오정1,경기도 부천시 오정구 원종동(나들이사거리 부근),4,7,0,2,5,0,126.8107128,37.52417554
6345407,2017081,2717010300,223027002,대구 대구서부2,대구광역시 서구 평리동(서대구전화국사거리 부근),4,4,0,2,2,0,128.5629748,35.87109347
6345644,2017081,2723011800,223427001,대구 대구강북1,대구광역시 북구 읍내동(칠곡지하차도 부근),6,6,0,5,1,0,128.5482813,35.93165211
6345682,2017081,3017011100,250630001,대전 대전둔산1,대전광역시 서구 갈마동(새소망교회 부근),7,11,0,4,7,0,127.3756243,36.3470789
6345313,2017081,3020011100,250730001,대전 대전유성1,대전광역시 유성구 봉명동(신뜸부대찌게 부근),6,6,1,2,2,1,127.3425438,36.35654345
